"","Year","HerdCode","Count","Class"
"27",1981,"ALAP",4,"cow"
"28",1982,"ALAP",10,"cow"
"29",1983,"ALAP",1,"cow"
"30",1988,"ALAP",47,"cow"
"31",1989,"ALAP",20,"cow"
"32",1990,"ALAP",8,"cow"
"33",1991,"ALAP",2,"cow"
"34",1997,"ALAP",69,"cow"
"35",1999,"ALAP",180,"cow"
"36",2000,"ALAP",68,"cow"
"37",2001,"ALAP",94,"cow"
"38",2003,"ALAP",66,"cow"
"39",2004,"ALAP",66,"cow"
"40",2005,"ALAP",70,"cow"
"41",2006,"ALAP",39,"cow"
"42",2007,"ALAP",61,"cow"
"43",2008,"ALAP",65,"cow"
"44",2009,"ALAP",82,"cow"
"45",2010,"ALAP",61,"cow"
"46",2011,"ALAP",59,"cow"
"47",2012,"ALAP",47,"cow"
"48",2013,"ALAP",83,"cow"
"49",2014,"ALAP",53,"cow"
"50",2015,"ALAP",50,"cow"
"51",2016,"ALAP",43,"cow"
"52",2017,"ALAP",44,"cow"
