"","Anthro","fire_excl_anthro","Total_dist","time","Year"
"1",0,0,0,1,2009
"2",0,0,0,2,2010
"3",0,0,0,3,2011
"4",0,0,0,4,2012
"5",0,2.91092808792128e-05,2.91092808792128e-05,5,2013
"6",0,6.86775212936118e-05,6.86775212936118e-05,6,2014
"7",0,9.89633744064923e-05,9.89633744064923e-05,7,2015
"8",0,0.000101008718345233,0.000101008718345233,8,2016
"9",0,0.000167877521575964,0.000167877521575964,9,2017
"10",0,0,0,10,2018
"11",0,6.4024994919828e-06,6.4024994919828e-06,11,2019
"12",0,2.92260823263739e-05,2.92260823263739e-05,12,2020
"13",0,0,0,13,2021
"14",0,5.45149900258282e-05,5.45149900258282e-05,14,2022
"15",0,0,0,15,2023
"16",4,0,4,16,2024
"17",8,0,8,17,2025
"18",12,5.82069425477909e-05,12.0000582069425,18,2026
"19",16,0,16,19,2027
"20",20,0,20,20,2028
"21",24,0,24,21,2029
"22",28,0,28,22,2030
"23",32,0,32,23,2031
"24",36,8.47791431340498e-05,36.0000847791431,24,2032
"25",40,4.17949714059628e-05,40.0000417949714,25,2033
"26",44,8.81623861358094e-06,44.0000088162386,26,2034
"27",48,0,48,27,2035
"28",52,0.000222877859643151,52.0002228778596,28,2036
"29",56,0,56,29,2037
"30",60,1.24345016154642e-05,60.0000124345016,30,2038
"31",64,5.11882096477241e-05,64.0000511882097,31,2039
"32",68,0.000296485852983424,68.000296485853,32,2040
"33",72,1.90722409840112e-05,72.000019072241,33,2041
"34",76,2.69789702542788e-05,76.0000269789703,34,2042
"35",80,0,80,35,2043
