"","Anthro","fire_excl_anthro","Total_dist","time","Year"
"1",0,0,0,1,2017
"2",0,5.76070978407634e-05,5.76070978407634e-05,2,2018
"3",4,4.45998405260353e-05,4.00004459984053,3,2019
"4",8,0.000194742943506676,8.00019474294351,4,2020
"5",12,0,12,5,2021
"6",16,0,16,6,2022
"7",20,6.53336901473139e-05,20.0000653336901,7,2023
"8",24,0,24,8,2024
"9",28,4.50220384202295e-05,28.0000450220384,9,2025
"10",32,0,32,10,2026
"11",36,5.15716058206425e-05,36.0000515716058,11,2027
"12",40,0.000170225298119977,40.0001702252981,12,2028
"13",44,0,44,13,2029
"14",48,0,48,14,2030
"15",52,4.21693377870199e-05,52.0000421693378,15,2031
"16",56,1.57538391732251e-05,56.0000157538392,16,2032
"17",60,0,60,17,2033
"18",64,2.58541207551799e-05,64.0000258541208,18,2034
"19",68,0,68,19,2035
"20",72,0.000258054794791523,72.0002580547948,20,2036
"21",76,0,76,21,2037
"22",80,4.93125887748317e-05,80.0000493125888,22,2038
